,,,,,,,count_of_sentiments_x_x,count_of_sentiments_x_x,count_of_sentiments_x_x,prop_sentiments,prop_sentiments,prop_sentiments,count_of_sentiments_y,count_of_sentiments_y,count_of_sentiments_y,count_of_sentiments_x_y,count_of_sentiments_x_y,count_of_sentiments_x_y
halpern,0.0,-3,before-lockdown,0,2020-02-10,halpern,0,0,0,,,,0.0,1.0,0.0,0.22,0.66,0.12
halpern,0.0,-2,before-lockdown,0,2020-02-24,halpern,0,0,0,,,,0.0,1.0,0.0,0.22,0.66,0.12
halpern,0.0,-1,before-lockdown,9,2020-03-09,halpern,0,9,0,0.0,1.0,0.0,0.0,1.0,0.0,0.22,0.66,0.12
halpern,0.0,0,lockdown,5,2020-03-23,halpern,0,5,0,0.0,1.0,0.0,0.2,0.73,0.07,0.22,0.66,0.12
halpern,0.0,1,lockdown,1,2020-04-06,halpern,0,1,0,0.0,1.0,0.0,0.2,0.73,0.07,0.22,0.66,0.12
halpern,0.0,2,lockdown,6,2020-04-20,halpern,3,2,1,0.5,0.33,0.17,0.2,0.73,0.07,0.22,0.66,0.12
halpern,0.0,3,lockdown,3,2020-05-04,halpern,0,3,0,0.0,1.0,0.0,0.2,0.73,0.07,0.22,0.66,0.12
halpern,0.0,4,post-lockdown,1,2020-05-18,halpern,1,0,0,1.0,0.0,0.0,0.5,0.12,0.38,0.22,0.66,0.12
halpern,0.0,5,post-lockdown,0,2020-06-01,halpern,0,0,0,,,,0.5,0.12,0.38,0.22,0.66,0.12
halpern,0.0,6,post-lockdown,7,2020-06-15,halpern,3,1,3,0.43,0.14,0.43,0.5,0.12,0.38,0.22,0.66,0.12
halpern,0.0,7,post-lockdown,0,2020-06-29,halpern,0,0,0,,,,0.5,0.12,0.38,0.22,0.66,0.12
halpern,1.0,-4,before-lockdown,0,2020-01-27,halpern,0,0,0,,,,0.37,0.56,0.07,0.31,0.55,0.14
halpern,1.0,-3,before-lockdown,0,2020-02-10,halpern,0,0,0,,,,0.37,0.56,0.07,0.31,0.55,0.14
halpern,1.0,-2,before-lockdown,0,2020-02-24,halpern,0,0,0,,,,0.37,0.56,0.07,0.31,0.55,0.14
halpern,1.0,-1,before-lockdown,27,2020-03-09,halpern,10,15,2,0.37,0.56,0.07,0.37,0.56,0.07,0.31,0.55,0.14
halpern,1.0,0,lockdown,11,2020-03-23,halpern,4,2,5,0.36,0.18,0.45,0.24,0.52,0.24,0.31,0.55,0.14
halpern,1.0,1,lockdown,2,2020-04-06,halpern,0,2,0,0.0,1.0,0.0,0.24,0.52,0.24,0.31,0.55,0.14
halpern,1.0,2,lockdown,4,2020-04-20,halpern,1,3,0,0.25,0.75,0.0,0.24,0.52,0.24,0.31,0.55,0.14
halpern,1.0,3,lockdown,4,2020-05-04,halpern,0,4,0,0.0,1.0,0.0,0.24,0.52,0.24,0.31,0.55,0.14
halpern,1.0,4,post-lockdown,2,2020-05-18,halpern,0,2,0,0.0,1.0,0.0,0.33,0.67,0.0,0.31,0.55,0.14
halpern,1.0,5,post-lockdown,0,2020-06-01,halpern,0,0,0,,,,0.33,0.67,0.0,0.31,0.55,0.14
halpern,1.0,6,post-lockdown,1,2020-06-15,halpern,1,0,0,1.0,0.0,0.0,0.33,0.67,0.0,0.31,0.55,0.14
halpern,1.0,7,post-lockdown,0,2020-06-29,halpern,0,0,0,,,,0.33,0.67,0.0,0.31,0.55,0.14
michie,0.0,-4,before-lockdown,0,2020-01-27,michie,0,0,0,,,,0.09,0.91,0.0,0.02,0.97,0.01
michie,0.0,-3,before-lockdown,0,2020-02-10,michie,0,0,0,,,,0.09,0.91,0.0,0.02,0.97,0.01
michie,0.0,-2,before-lockdown,0,2020-02-24,michie,0,0,0,,,,0.09,0.91,0.0,0.02,0.97,0.01
michie,0.0,-1,before-lockdown,23,2020-03-09,michie,2,21,0,0.09,0.91,0.0,0.09,0.91,0.0,0.02,0.97,0.01
michie,0.0,0,lockdown,5,2020-03-23,michie,0,4,1,0.0,0.8,0.2,0.02,0.96,0.02,0.02,0.97,0.01
michie,0.0,1,lockdown,13,2020-04-06,michie,0,13,0,0.0,1.0,0.0,0.02,0.96,0.02,0.02,0.97,0.01
michie,0.0,2,lockdown,19,2020-04-20,michie,0,19,0,0.0,1.0,0.0,0.02,0.96,0.02,0.02,0.97,0.01
michie,0.0,3,lockdown,18,2020-05-04,michie,1,17,0,0.06,0.94,0.0,0.02,0.96,0.02,0.02,0.97,0.01
michie,0.0,4,post-lockdown,9,2020-05-18,michie,0,9,0,0.0,1.0,0.0,0.0,1.0,0.0,0.02,0.97,0.01
michie,0.0,5,post-lockdown,9,2020-06-01,michie,0,9,0,0.0,1.0,0.0,0.0,1.0,0.0,0.02,0.97,0.01
michie,0.0,6,post-lockdown,17,2020-06-15,michie,0,17,0,0.0,1.0,0.0,0.0,1.0,0.0,0.02,0.97,0.01
michie,0.0,7,post-lockdown,10,2020-06-29,michie,0,10,0,0.0,1.0,0.0,0.0,1.0,0.0,0.02,0.97,0.01
michie,1.0,-4,before-lockdown,0,2020-01-27,michie,0,0,0,,,,0.0,0.38,0.62,0.01,0.77,0.22
michie,1.0,-3,before-lockdown,0,2020-02-10,michie,0,0,0,,,,0.0,0.38,0.62,0.01,0.77,0.22
michie,1.0,-2,before-lockdown,0,2020-02-24,michie,0,0,0,,,,0.0,0.38,0.62,0.01,0.77,0.22
michie,1.0,-1,before-lockdown,21,2020-03-09,michie,0,8,13,0.0,0.38,0.62,0.0,0.38,0.62,0.01,0.77,0.22
michie,1.0,0,lockdown,11,2020-03-23,michie,0,11,0,0.0,1.0,0.0,0.03,0.89,0.08,0.01,0.77,0.22
michie,1.0,1,lockdown,3,2020-04-06,michie,0,2,1,0.0,0.67,0.33,0.03,0.89,0.08,0.01,0.77,0.22
michie,1.0,2,lockdown,12,2020-04-20,michie,0,10,2,0.0,0.83,0.17,0.03,0.89,0.08,0.01,0.77,0.22
michie,1.0,3,lockdown,10,2020-05-04,michie,1,9,0,0.1,0.9,0.0,0.03,0.89,0.08,0.01,0.77,0.22
michie,1.0,4,post-lockdown,9,2020-05-18,michie,0,8,1,0.0,0.89,0.11,0.0,0.92,0.08,0.01,0.77,0.22
michie,1.0,5,post-lockdown,14,2020-06-01,michie,0,13,1,0.0,0.93,0.07,0.0,0.92,0.08,0.01,0.77,0.22
michie,1.0,6,post-lockdown,0,2020-06-15,michie,0,0,0,,,,0.0,0.92,0.08,0.01,0.77,0.22
michie,1.0,7,post-lockdown,3,2020-06-29,michie,0,3,0,0.0,1.0,0.0,0.0,0.92,0.08,0.01,0.77,0.22
nudge,0.0,-4,before-lockdown,5,2020-01-27,nudge,1,0,4,0.2,0.0,0.8,0.41,0.22,0.37,0.46,0.21,0.32
nudge,0.0,-3,before-lockdown,6,2020-02-10,nudge,3,1,2,0.5,0.17,0.33,0.41,0.22,0.37,0.46,0.21,0.32
nudge,0.0,-2,before-lockdown,2,2020-02-24,nudge,1,1,0,0.5,0.5,0.0,0.41,0.22,0.37,0.46,0.21,0.32
nudge,0.0,-1,before-lockdown,14,2020-03-09,nudge,6,4,4,0.43,0.29,0.29,0.41,0.22,0.37,0.46,0.21,0.32
nudge,0.0,0,lockdown,11,2020-03-23,nudge,8,0,3,0.73,0.0,0.27,0.58,0.16,0.26,0.46,0.21,0.32
nudge,0.0,1,lockdown,12,2020-04-06,nudge,5,1,6,0.42,0.08,0.5,0.58,0.16,0.26,0.46,0.21,0.32
nudge,0.0,2,lockdown,14,2020-04-20,nudge,8,5,1,0.57,0.36,0.07,0.58,0.16,0.26,0.46,0.21,0.32
nudge,0.0,3,lockdown,1,2020-05-04,nudge,1,0,0,1.0,0.0,0.0,0.58,0.16,0.26,0.46,0.21,0.32
nudge,0.0,4,post-lockdown,8,2020-05-18,nudge,1,3,4,0.12,0.38,0.5,0.27,0.33,0.4,0.46,0.21,0.32
nudge,0.0,5,post-lockdown,5,2020-06-01,nudge,3,0,2,0.6,0.0,0.4,0.27,0.33,0.4,0.46,0.21,0.32
nudge,0.0,6,post-lockdown,1,2020-06-15,nudge,0,1,0,0.0,1.0,0.0,0.27,0.33,0.4,0.46,0.21,0.32
nudge,0.0,7,post-lockdown,1,2020-06-29,nudge,0,1,0,0.0,1.0,0.0,0.27,0.33,0.4,0.46,0.21,0.32
nudge,1.0,-4,before-lockdown,2,2020-01-27,nudge,0,0,2,0.0,0.0,1.0,0.29,0.29,0.41,0.39,0.27,0.33
nudge,1.0,-3,before-lockdown,3,2020-02-10,nudge,0,1,2,0.0,0.33,0.67,0.29,0.29,0.41,0.39,0.27,0.33
nudge,1.0,-2,before-lockdown,1,2020-02-24,nudge,1,0,0,1.0,0.0,0.0,0.29,0.29,0.41,0.39,0.27,0.33
nudge,1.0,-1,before-lockdown,11,2020-03-09,nudge,4,4,3,0.36,0.36,0.27,0.29,0.29,0.41,0.39,0.27,0.33
nudge,1.0,0,lockdown,4,2020-03-23,nudge,2,0,2,0.5,0.0,0.5,0.46,0.23,0.31,0.39,0.27,0.33
nudge,1.0,1,lockdown,4,2020-04-06,nudge,2,2,0,0.5,0.5,0.0,0.46,0.23,0.31,0.39,0.27,0.33
nudge,1.0,2,lockdown,4,2020-04-20,nudge,1,1,2,0.25,0.25,0.5,0.46,0.23,0.31,0.39,0.27,0.33
nudge,1.0,3,lockdown,1,2020-05-04,nudge,1,0,0,1.0,0.0,0.0,0.46,0.23,0.31,0.39,0.27,0.33
nudge,1.0,4,post-lockdown,0,2020-05-18,nudge,0,0,0,,,,0.67,0.33,0.0,0.39,0.27,0.33
nudge,1.0,5,post-lockdown,1,2020-06-01,nudge,1,0,0,1.0,0.0,0.0,0.67,0.33,0.0,0.39,0.27,0.33
nudge,1.0,6,post-lockdown,2,2020-06-15,nudge,1,1,0,0.5,0.5,0.0,0.67,0.33,0.0,0.39,0.27,0.33
nudge,1.0,7,post-lockdown,0,2020-06-29,nudge,0,0,0,,,,0.67,0.33,0.0,0.39,0.27,0.33
psychologist,0.0,-4,before-lockdown,0,2020-01-27,psychologist,0,0,0,,,,0.0,0.86,0.14,0.0,0.9,0.1
psychologist,0.0,-3,before-lockdown,2,2020-02-10,psychologist,0,1,1,0.0,0.5,0.5,0.0,0.86,0.14,0.0,0.9,0.1
psychologist,0.0,-2,before-lockdown,4,2020-02-24,psychologist,0,3,1,0.0,0.75,0.25,0.0,0.86,0.14,0.0,0.9,0.1
psychologist,0.0,-1,before-lockdown,8,2020-03-09,psychologist,0,8,0,0.0,1.0,0.0,0.0,0.86,0.14,0.0,0.9,0.1
psychologist,0.0,0,lockdown,6,2020-03-23,psychologist,0,5,1,0.0,0.83,0.17,0.0,0.89,0.11,0.0,0.9,0.1
psychologist,0.0,1,lockdown,7,2020-04-06,psychologist,0,6,1,0.0,0.86,0.14,0.0,0.89,0.11,0.0,0.9,0.1
psychologist,0.0,2,lockdown,7,2020-04-20,psychologist,0,6,1,0.0,0.86,0.14,0.0,0.89,0.11,0.0,0.9,0.1
psychologist,0.0,3,lockdown,7,2020-05-04,psychologist,0,7,0,0.0,1.0,0.0,0.0,0.89,0.11,0.0,0.9,0.1
psychologist,0.0,4,post-lockdown,7,2020-05-18,psychologist,0,7,0,0.0,1.0,0.0,0.0,0.95,0.05,0.0,0.9,0.1
psychologist,0.0,5,post-lockdown,0,2020-06-01,psychologist,0,0,0,,,,0.0,0.95,0.05,0.0,0.9,0.1
psychologist,0.0,6,post-lockdown,7,2020-06-15,psychologist,0,6,1,0.0,0.86,0.14,0.0,0.95,0.05,0.0,0.9,0.1
psychologist,0.0,7,post-lockdown,5,2020-06-29,psychologist,0,5,0,0.0,1.0,0.0,0.0,0.95,0.05,0.0,0.9,0.1
psychologist,1.0,-4,before-lockdown,0,2020-01-27,psychologist,0,0,0,,,,,,,0.0,1.0,0.0
psychologist,1.0,-3,before-lockdown,0,2020-02-10,psychologist,0,0,0,,,,,,,0.0,1.0,0.0
psychologist,1.0,-2,before-lockdown,0,2020-02-24,psychologist,0,0,0,,,,,,,0.0,1.0,0.0
psychologist,1.0,-1,before-lockdown,0,2020-03-09,psychologist,0,0,0,,,,,,,0.0,1.0,0.0
psychologist,1.0,0,lockdown,0,2020-03-23,psychologist,0,0,0,,,,0.0,1.0,0.0,0.0,1.0,0.0
psychologist,1.0,1,lockdown,1,2020-04-06,psychologist,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
psychologist,1.0,2,lockdown,3,2020-04-20,psychologist,0,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
psychologist,1.0,3,lockdown,1,2020-05-04,psychologist,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
psychologist,1.0,4,post-lockdown,1,2020-05-18,psychologist,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
psychologist,1.0,5,post-lockdown,4,2020-06-01,psychologist,0,4,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
psychologist,1.0,6,post-lockdown,0,2020-06-15,psychologist,0,0,0,,,,0.0,1.0,0.0,0.0,1.0,0.0
psychologist,1.0,7,post-lockdown,2,2020-06-29,psychologist,0,2,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
psychology,0.0,-4,before-lockdown,1,2020-01-27,psychology,0,1,0,0.0,1.0,0.0,0.0,0.9,0.1,0.04,0.82,0.14
psychology,0.0,-3,before-lockdown,0,2020-02-10,psychology,0,0,0,,,,0.0,0.9,0.1,0.04,0.82,0.14
psychology,0.0,-2,before-lockdown,2,2020-02-24,psychology,0,2,0,0.0,1.0,0.0,0.0,0.9,0.1,0.04,0.82,0.14
psychology,0.0,-1,before-lockdown,18,2020-03-09,psychology,0,16,2,0.0,0.89,0.11,0.0,0.9,0.1,0.04,0.82,0.14
psychology,0.0,0,lockdown,10,2020-03-23,psychology,1,5,4,0.1,0.5,0.4,0.09,0.79,0.12,0.04,0.82,0.14
psychology,0.0,1,lockdown,8,2020-04-06,psychology,0,6,2,0.0,0.75,0.25,0.09,0.79,0.12,0.04,0.82,0.14
psychology,0.0,2,lockdown,20,2020-04-20,psychology,3,17,0,0.15,0.85,0.0,0.09,0.79,0.12,0.04,0.82,0.14
psychology,0.0,3,lockdown,18,2020-05-04,psychology,1,16,1,0.06,0.89,0.06,0.09,0.79,0.12,0.04,0.82,0.14
psychology,0.0,4,post-lockdown,17,2020-05-18,psychology,0,14,3,0.0,0.82,0.18,0.0,0.83,0.17,0.04,0.82,0.14
psychology,0.0,5,post-lockdown,10,2020-06-01,psychology,0,10,0,0.0,1.0,0.0,0.0,0.83,0.17,0.04,0.82,0.14
psychology,0.0,6,post-lockdown,17,2020-06-15,psychology,0,12,5,0.0,0.71,0.29,0.0,0.83,0.17,0.04,0.82,0.14
psychology,0.0,7,post-lockdown,4,2020-06-29,psychology,0,4,0,0.0,1.0,0.0,0.0,0.83,0.17,0.04,0.82,0.14
psychology,1.0,-4,before-lockdown,0,2020-01-27,psychology,0,0,0,,,,0.0,0.58,0.42,0.05,0.72,0.22
psychology,1.0,-3,before-lockdown,0,2020-02-10,psychology,0,0,0,,,,0.0,0.58,0.42,0.05,0.72,0.22
psychology,1.0,-2,before-lockdown,0,2020-02-24,psychology,0,0,0,,,,0.0,0.58,0.42,0.05,0.72,0.22
psychology,1.0,-1,before-lockdown,12,2020-03-09,psychology,0,7,5,0.0,0.58,0.42,0.0,0.58,0.42,0.05,0.72,0.22
psychology,1.0,0,lockdown,1,2020-03-23,psychology,0,0,1,0.0,0.0,1.0,0.13,0.73,0.13,0.05,0.72,0.22
psychology,1.0,1,lockdown,6,2020-04-06,psychology,1,5,0,0.17,0.83,0.0,0.13,0.73,0.13,0.05,0.72,0.22
psychology,1.0,2,lockdown,2,2020-04-20,psychology,0,2,0,0.0,1.0,0.0,0.13,0.73,0.13,0.05,0.72,0.22
psychology,1.0,3,lockdown,6,2020-05-04,psychology,1,4,1,0.17,0.67,0.17,0.13,0.73,0.13,0.05,0.72,0.22
psychology,1.0,4,post-lockdown,12,2020-05-18,psychology,0,10,2,0.0,0.83,0.17,0.0,0.85,0.15,0.05,0.72,0.22
psychology,1.0,5,post-lockdown,0,2020-06-01,psychology,0,0,0,,,,0.0,0.85,0.15,0.05,0.72,0.22
psychology,1.0,6,post-lockdown,0,2020-06-15,psychology,0,0,0,,,,0.0,0.85,0.15,0.05,0.72,0.22
psychology,1.0,7,post-lockdown,1,2020-06-29,psychology,0,1,0,0.0,1.0,0.0,0.0,0.85,0.15,0.05,0.72,0.22
spi-b,0.0,-4,before-lockdown,0,2020-01-27,spi-b,0,0,0,,,,0.0,1.0,0.0,0.04,0.84,0.11
spi-b,0.0,-3,before-lockdown,0,2020-02-10,spi-b,0,0,0,,,,0.0,1.0,0.0,0.04,0.84,0.11
spi-b,0.0,-2,before-lockdown,0,2020-02-24,spi-b,0,0,0,,,,0.0,1.0,0.0,0.04,0.84,0.11
spi-b,0.0,-1,before-lockdown,3,2020-03-09,spi-b,0,3,0,0.0,1.0,0.0,0.0,1.0,0.0,0.04,0.84,0.11
spi-b,0.0,0,lockdown,1,2020-03-23,spi-b,1,0,0,1.0,0.0,0.0,0.08,0.82,0.1,0.04,0.84,0.11
spi-b,0.0,1,lockdown,1,2020-04-06,spi-b,0,1,0,0.0,1.0,0.0,0.08,0.82,0.1,0.04,0.84,0.11
spi-b,0.0,2,lockdown,10,2020-04-20,spi-b,0,10,0,0.0,1.0,0.0,0.08,0.82,0.1,0.04,0.84,0.11
spi-b,0.0,3,lockdown,49,2020-05-04,spi-b,4,39,6,0.08,0.8,0.12,0.08,0.82,0.1,0.04,0.84,0.11
spi-b,0.0,4,post-lockdown,30,2020-05-18,spi-b,0,25,5,0.0,0.83,0.17,0.0,0.87,0.13,0.04,0.84,0.11
spi-b,0.0,5,post-lockdown,12,2020-06-01,spi-b,0,10,2,0.0,0.83,0.17,0.0,0.87,0.13,0.04,0.84,0.11
spi-b,0.0,6,post-lockdown,6,2020-06-15,spi-b,0,6,0,0.0,1.0,0.0,0.0,0.87,0.13,0.04,0.84,0.11
spi-b,0.0,7,post-lockdown,4,2020-06-29,spi-b,0,4,0,0.0,1.0,0.0,0.0,0.87,0.13,0.04,0.84,0.11
spi-b,1.0,-4,before-lockdown,0,2020-01-27,spi-b,0,0,0,,,,0.0,1.0,0.0,0.0,0.9,0.1
spi-b,1.0,-3,before-lockdown,0,2020-02-10,spi-b,0,0,0,,,,0.0,1.0,0.0,0.0,0.9,0.1
spi-b,1.0,-2,before-lockdown,0,2020-02-24,spi-b,0,0,0,,,,0.0,1.0,0.0,0.0,0.9,0.1
spi-b,1.0,-1,before-lockdown,1,2020-03-09,spi-b,0,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9,0.1
spi-b,1.0,0,lockdown,1,2020-03-23,spi-b,0,0,1,0.0,0.0,1.0,0.0,0.87,0.13,0.0,0.9,0.1
spi-b,1.0,1,lockdown,2,2020-04-06,spi-b,0,1,1,0.0,0.5,0.5,0.0,0.87,0.13,0.0,0.9,0.1
spi-b,1.0,2,lockdown,6,2020-04-20,spi-b,0,6,0,0.0,1.0,0.0,0.0,0.87,0.13,0.0,0.9,0.1
spi-b,1.0,3,lockdown,21,2020-05-04,spi-b,0,19,2,0.0,0.9,0.1,0.0,0.87,0.13,0.0,0.9,0.1
spi-b,1.0,4,post-lockdown,13,2020-05-18,spi-b,0,12,1,0.0,0.92,0.08,0.0,0.95,0.05,0.0,0.9,0.1
spi-b,1.0,5,post-lockdown,0,2020-06-01,spi-b,0,0,0,,,,0.0,0.95,0.05,0.0,0.9,0.1
spi-b,1.0,6,post-lockdown,1,2020-06-15,spi-b,0,1,0,0.0,1.0,0.0,0.0,0.95,0.05,0.0,0.9,0.1
spi-b,1.0,7,post-lockdown,5,2020-06-29,spi-b,0,5,0,0.0,1.0,0.0,0.0,0.95,0.05,0.0,0.9,0.1
