,-4,-3,-2,-1,0,1,2,3,4,5,6,7
kword,american_behav_scientists,american_behav_scientists,american_behav_scientists,american_behav_scientists,american_behav_scientists,american_behav_scientists,american_behav_scientists,american_behav_scientists,american_behav_scientists,american_behav_scientists,american_behav_scientists,american_behav_scientists
fortnight_starting,2020-01-27,2020-02-10,2020-02-24,2020-03-09,2020-03-23,2020-04-06,2020-04-20,2020-05-04,2020-05-18,2020-06-01,2020-06-15,2020-06-29
fortnight_to_lockdown,-4,-3,-2,-1,0,1,2,3,4,5,6,7
salience,0.4317789291882556,3.2756455751487685,1.568791507608639,0.08414193735127913,0.16837126987482529,0.26374437894792363,0.3140078263310635,0.034614292933838234,0.0361387057735648,0.0,0.2904725019364833,0.12876227265411233
salience_diff,,2.843866645960513,-1.7068540675401296,-1.4846495702573599,0.08422933252354615,0.09537310907309834,0.05026344738313987,-0.2793935333972253,0.0015244128397265688,-0.0361387057735648,0.2904725019364833,-0.16171022928237094
normTF,4.317789291882556,21.291696238467,10.197144799456153,1.8174658467876288,3.4796729107463897,4.153973968429798,4.4589111339011005,1.1768859597505001,1.4997562896029397,0.0,5.809450038729667,1.9314340898116849
relDF,0.1,0.15384615384615385,0.15384615384615385,0.04629629629629629,0.04838709677419355,0.06349206349206349,0.07042253521126761,0.029411764705882356,0.024096385542168683,0.0,0.05,0.06666666666666668
TF,1,6,6,6,6,6,10,3,4,0,6,2
DF,1,2,4,5,3,4,5,3,2,0,2,2
kword,behav_analysis,behav_analysis,behav_analysis,behav_analysis,behav_analysis,behav_analysis,behav_analysis,behav_analysis,behav_analysis,behav_analysis,behav_analysis,behav_analysis
fortnight_starting,2020-01-27,2020-02-10,2020-02-24,2020-03-09,2020-03-23,2020-04-06,2020-04-20,2020-05-04,2020-05-18,2020-06-01,2020-06-15,2020-06-29
fortnight_to_lockdown,-4,-3,-2,-1,0,1,2,3,4,5,6,7
salience,0.0,0.0,0.06536631281702662,0.0,0.009353959437490296,0.04395739649132061,0.0,0.06153652077126797,0.0045173382216956,0.0,0.0,0.0
salience_diff,,0.0,0.06536631281702662,-0.06536631281702662,0.009353959437490296,0.034603437053830316,-0.04395739649132061,0.06153652077126797,-0.05701918254957237,-0.0045173382216956,0.0,0.0
normTF,0.0,0.0,1.699524133242692,0.0,0.5799454851243983,1.3846579894765993,0.0,1.5691812796673335,0.37493907240073493,0.0,0.0,0.0
relDF,0.0,0.0,0.038461538461538464,0.0,0.016129032258064516,0.031746031746031744,0.0,0.0392156862745098,0.012048192771084338,0.0,0.0,0.0
TF,0,0,1,0,1,2,0,4,1,0,0,0
DF,0,0,1,0,1,2,0,4,1,0,0,0
kword,behav_change,behav_change,behav_change,behav_change,behav_change,behav_change,behav_change,behav_change,behav_change,behav_change,behav_change,behav_change
fortnight_starting,2020-01-27,2020-02-10,2020-02-24,2020-03-09,2020-03-23,2020-04-06,2020-04-20,2020-05-04,2020-05-18,2020-06-01,2020-06-15,2020-06-29
fortnight_to_lockdown,-4,-3,-2,-1,0,1,2,3,4,5,6,7
salience,0.0,0.0,0.0,0.042070968675639565,1.1318290919363256,0.09890414210547137,0.15072375663891047,0.24614608308507188,0.040656043995260405,0.323597105423892,0.02420604182804028,0.5150490906164493
salience_diff,,0.0,0.0,0.042070968675639565,1.089758123260686,-1.0329249498308544,0.0518196145334391,0.09542232644616142,-0.20549003908981148,0.28294106142863157,-0.2993910635958517,0.49084304878840906
normTF,0.0,0.0,0.0,1.5145548723230242,6.379400336368381,2.076986984214899,2.675346680340661,3.138362559334667,1.1248172172022046,3.155071777882947,0.9682416731216112,3.8628681796233697
relDF,0.0,0.0,0.0,0.027777777777777776,0.1774193548387097,0.047619047619047616,0.056338028169014086,0.0784313725490196,0.03614457831325301,0.10256410256410256,0.025,0.13333333333333333
TF,0,0,0,5,11,3,6,8,3,4,1,4
DF,0,0,0,3,11,3,4,8,3,4,1,4
kword,behav_econ,behav_econ,behav_econ,behav_econ,behav_econ,behav_econ,behav_econ,behav_econ,behav_econ,behav_econ,behav_econ,behav_econ
fortnight_starting,2020-01-27,2020-02-10,2020-02-24,2020-03-09,2020-03-23,2020-04-06,2020-04-20,2020-05-04,2020-05-18,2020-06-01,2020-06-15,2020-06-29
fortnight_to_lockdown,-4,-3,-2,-1,0,1,2,3,4,5,6,7
salience,0.4317789291882556,0.5459409291914615,0.06536631281702662,0.02524258120538373,0.33674253974965057,0.39561656842188553,0.06280156526621271,0.06153652077126797,0.11293345554239005,0.0,0.02420604182804028,0.12876227265411233
salience_diff,,0.11416200000320592,-0.4805746163744349,-0.04012373161164289,0.3114999585442668,0.05887402867223496,-0.3328150031556728,-0.0012650444949447379,0.05139693477112208,-0.11293345554239005,0.02420604182804028,0.10455623082607204
normTF,4.317789291882556,7.097232079488999,1.699524133242692,0.9087329233938146,3.4796729107463897,4.153973968429798,2.2294555669505507,1.5691812796673335,1.8746953620036741,0.0,0.9682416731216112,1.9314340898116849
relDF,0.1,0.07692307692307693,0.038461538461538464,0.027777777777777776,0.0967741935483871,0.09523809523809523,0.028169014084507043,0.0392156862745098,0.060240963855421686,0.0,0.025,0.06666666666666668
TF,1,2,1,3,6,6,5,4,5,0,1,2
DF,1,1,1,3,6,6,2,4,5,0,1,2
kword,behav_insight,behav_insight,behav_insight,behav_insight,behav_insight,behav_insight,behav_insight,behav_insight,behav_insight,behav_insight,behav_insight,behav_insight
fortnight_starting,2020-01-27,2020-02-10,2020-02-24,2020-03-09,2020-03-23,2020-04-06,2020-04-20,2020-05-04,2020-05-18,2020-06-01,2020-06-15,2020-06-29
fortnight_to_lockdown,-4,-3,-2,-1,0,1,2,3,4,5,6,7
salience,0.0,0.2729704645957308,0.0,0.0028047312450426368,0.056123756624941776,0.04395739649132061,0.05652140873959142,0.0,0.13552014665086803,0.0,0.09682416731216112,0.0
salience_diff,,0.2729704645957308,-0.2729704645957308,0.0028047312450426368,0.05331902537989914,-0.012166360133621164,0.012564012248270806,-0.05652140873959142,0.13552014665086803,-0.13552014665086803,0.09682416731216112,-0.09682416731216112
normTF,0.0,3.5486160397444997,0.0,0.3029109744646049,1.7398364553731949,1.3846579894765993,1.3376733401703302,0.0,2.249634434404409,0.0,1.9364833462432225,0.0
relDF,0.0,0.07692307692307693,0.0,0.009259259259259259,0.03225806451612903,0.031746031746031744,0.04225352112676056,0.0,0.060240963855421686,0.0,0.05,0.0
TF,0,1,0,1,3,2,3,0,6,0,2,0
DF,0,1,0,1,2,2,3,0,5,0,2,0
kword,behav_insights_team,behav_insights_team,behav_insights_team,behav_insights_team,behav_insights_team,behav_insights_team,behav_insights_team,behav_insights_team,behav_insights_team,behav_insights_team,behav_insights_team,behav_insights_team
fortnight_starting,2020-01-27,2020-02-10,2020-02-24,2020-03-09,2020-03-23,2020-04-06,2020-04-20,2020-05-04,2020-05-18,2020-06-01,2020-06-15,2020-06-29
fortnight_to_lockdown,-4,-3,-2,-1,0,1,2,3,4,5,6,7
salience,0.8635578583765112,0.8189113937871922,3.921978769021597,4.375380742266516,1.421801834498525,0.32968047368490455,0.9043425398334627,0.5499826543932076,0.054208058660347204,0.020224819088993252,0.3872966692486445,0.0
salience_diff,,-0.04464646458931898,3.1030673752344047,0.4534019732449188,-2.953578907767991,-1.0921213608136204,0.5746620661485582,-0.3543598854402551,-0.49577459573286037,-0.03398323957135395,0.3670718501596512,-0.3872966692486445
normTF,8.635578583765112,10.6458481192335,16.99524133242692,15.751370672159453,11.018964217363568,4.153973968429798,7.134257814241763,5.099839158918834,1.4997562896029397,0.7887679444707367,7.74593338497289,0.0
relDF,0.1,0.07692307692307693,0.2307692307692308,0.2777777777777778,0.12903225806451613,0.07936507936507936,0.1267605633802817,0.10784313725490197,0.03614457831325301,0.02564102564102564,0.05,0.0
TF,2,3,10,52,19,6,16,13,4,1,8,0
DF,1,1,6,30,8,5,9,11,3,1,2,0
kword,behav_science,behav_science,behav_science,behav_science,behav_science,behav_science,behav_science,behav_science,behav_science,behav_science,behav_science,behav_science
fortnight_starting,2020-01-27,2020-02-10,2020-02-24,2020-03-09,2020-03-23,2020-04-06,2020-04-20,2020-05-04,2020-05-18,2020-06-01,2020-06-15,2020-06-29
fortnight_to_lockdown,-4,-3,-2,-1,0,1,2,3,4,5,6,7
salience,0.0,2.4567341813615764,14.64205407101396,10.994546480567141,13.769028291985714,19.615988184251822,10.921192199794387,5.099839158918834,11.465004406663436,11.568596518904142,36.5995352439969,7.210687268630291
salience_diff,,2.4567341813615764,12.185319889652384,-3.6475075904468195,2.774481811418573,5.846959892266108,-8.694795984457436,-5.821353040875553,6.365165247744602,0.10359211224070641,25.030938725092753,-29.388847975366605
normTF,0.0,10.6458481192335,27.192386131883072,21.20376821252234,26.677492315722326,35.308778731653284,20.956882329335176,15.299517476756503,20.246709909639687,20.507966556239154,54.22153369481022,15.45147271849348
relDF,0.0,0.2307692307692308,0.5384615384615384,0.5185185185185185,0.5161290322580645,0.5555555555555556,0.5211267605633803,0.3333333333333333,0.5662650602409639,0.5641025641025641,0.675,0.4666666666666667
TF,0,3,16,70,46,51,47,39,54,26,56,16
DF,0,3,14,56,32,35,37,34,47,22,27,14
kword,behav_scientist,behav_scientist,behav_scientist,behav_scientist,behav_scientist,behav_scientist,behav_scientist,behav_scientist,behav_scientist,behav_scientist,behav_scientist,behav_scientist
fortnight_starting,2020-01-27,2020-02-10,2020-02-24,2020-03-09,2020-03-23,2020-04-06,2020-04-20,2020-05-04,2020-05-18,2020-06-01,2020-06-15,2020-06-29
fortnight_to_lockdown,-4,-3,-2,-1,0,1,2,3,4,5,6,7
salience,3.8860103626942997,0.2729704645957308,0.06536631281702662,0.13743183100708925,0.3928662963745924,0.8901372789492425,0.40193001770376124,0.3846032548204249,0.2891096461885185,0.080899276355973,1.0166537567776917,0.804764204088202
salience_diff,,-3.613039898098569,-0.2076041517787042,0.07206551819006263,0.25543446536750314,0.49727098257465013,-0.4882072612454813,-0.017326762883336344,-0.09549360863190642,-0.20821036983254548,0.9357544804217186,-0.2118895526894896
normTF,12.953367875647668,3.5486160397444997,1.699524133242692,2.120376821252234,4.059618395870788,6.230960952644698,3.5671289071208814,3.922953199168334,2.999512579205879,1.5775358889414737,6.777691711851277,4.8285852245292125
relDF,0.3,0.07692307692307693,0.038461538461538464,0.06481481481481481,0.0967741935483871,0.14285714285714285,0.11267605633802814,0.09803921568627452,0.0963855421686747,0.05128205128205128,0.15,0.16666666666666666
TF,3,1,1,7,7,9,8,10,8,2,7,5
DF,3,1,1,7,6,9,8,10,8,2,6,5
kword,behavioural_economist,behavioural_economist,behavioural_economist,behavioural_economist,behavioural_economist,behavioural_economist,behavioural_economist,behavioural_economist,behavioural_economist,behavioural_economist,behavioural_economist,behavioural_economist
fortnight_starting,2020-01-27,2020-02-10,2020-02-24,2020-03-09,2020-03-23,2020-04-06,2020-04-20,2020-05-04,2020-05-18,2020-06-01,2020-06-15,2020-06-29
fortnight_to_lockdown,-4,-3,-2,-1,0,1,2,3,4,5,6,7
salience,0.0,0.0,0.0,0.0028047312450426368,0.0,0.0,0.02512062610648508,0.034614292933838234,0.0180693528867824,0.0,0.0,0.0
salience_diff,,0.0,0.0,0.0028047312450426368,-0.0028047312450426368,0.0,0.02512062610648508,0.009493666827353153,-0.016544940047055832,-0.0180693528867824,0.0,0.0
normTF,0.0,0.0,0.0,0.3029109744646049,0.0,0.0,0.8917822267802202,1.1768859597505001,0.7498781448014697,0.0,0.0,0.0
relDF,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.028169014084507043,0.029411764705882356,0.024096385542168683,0.0,0.0,0.0
TF,0,0,0,1,0,0,2,3,2,0,0,0
DF,0,0,0,1,0,0,2,3,2,0,0,0
kword,behavioural_fatigue,behavioural_fatigue,behavioural_fatigue,behavioural_fatigue,behavioural_fatigue,behavioural_fatigue,behavioural_fatigue,behavioural_fatigue,behavioural_fatigue,behavioural_fatigue,behavioural_fatigue,behavioural_fatigue
fortnight_starting,2020-01-27,2020-02-10,2020-02-24,2020-03-09,2020-03-23,2020-04-06,2020-04-20,2020-05-04,2020-05-18,2020-06-01,2020-06-15,2020-06-29
fortnight_to_lockdown,-4,-3,-2,-1,0,1,2,3,4,5,6,7
salience,0.0,0.0,0.0,0.042070968675639565,0.037415837749961184,0.16484023684245228,0.02512062610648508,0.0,0.0,0.0,0.3872966692486445,0.0
salience_diff,,0.0,0.0,0.042070968675639565,-0.0046551309256783815,0.1274243990924911,-0.1397196107359672,-0.02512062610648508,0.0,0.0,0.3872966692486445,-0.3872966692486445
normTF,0.0,0.0,0.0,1.5145548723230242,1.1598909702487965,3.4616449736914983,1.7835644535604405,0.0,0.0,0.0,3.872966692486445,0.0
relDF,0.0,0.0,0.0,0.027777777777777776,0.03225806451612903,0.047619047619047616,0.014084507042253518,0.0,0.0,0.0,0.1,0.0
TF,0,0,0,5,2,5,4,0,0,0,4,0
DF,0,0,0,3,2,3,1,0,0,0,4,0
kword,chater,chater,chater,chater,chater,chater,chater,chater,chater,chater,chater,chater
fortnight_starting,2020-01-27,2020-02-10,2020-02-24,2020-03-09,2020-03-23,2020-04-06,2020-04-20,2020-05-04,2020-05-18,2020-06-01,2020-06-15,2020-06-29
fortnight_to_lockdown,-4,-3,-2,-1,0,1,2,3,4,5,6,7
salience,0.0,0.0,0.0,0.0028047312450426368,0.0,0.0,0.0062801565266212694,0.0,0.0,0.0,0.0,0.0
salience_diff,,0.0,0.0,0.0028047312450426368,-0.0028047312450426368,0.0,0.0062801565266212694,-0.0062801565266212694,0.0,0.0,0.0,0.0
normTF,0.0,0.0,0.0,0.3029109744646049,0.0,0.0,0.4458911133901101,0.0,0.0,0.0,0.0,0.0
relDF,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.014084507042253518,0.0,0.0,0.0,0.0,0.0
TF,0,0,0,1,0,0,1,0,0,0,0,0
DF,0,0,0,1,0,0,1,0,0,0,0,0
kword,halpern,halpern,halpern,halpern,halpern,halpern,halpern,halpern,halpern,halpern,halpern,halpern
fortnight_starting,2020-01-27,2020-02-10,2020-02-24,2020-03-09,2020-03-23,2020-04-06,2020-04-20,2020-05-04,2020-05-18,2020-06-01,2020-06-15,2020-06-29
fortnight_to_lockdown,-4,-3,-2,-1,0,1,2,3,4,5,6,7
salience,0.0,0.0,0.0,2.4232877957168384,1.4966335099984471,0.032968047368490454,0.12560313053242542,0.16153336702457846,0.040656043995260405,0.0,0.19364833462432224,0.0
salience_diff,,0.0,0.0,2.4232877957168384,-0.9266542857183913,-1.4636654626299568,0.09263508316393496,0.035930236492153045,-0.12087732302931806,-0.040656043995260405,0.19364833462432224,-0.19364833462432224
normTF,0.0,0.0,0.0,10.904795080725775,9.279127761990372,2.076986984214899,4.4589111339011005,2.7460672394178336,1.1248172172022046,0.0,7.74593338497289,0.0
relDF,0.0,0.0,0.0,0.2222222222222222,0.16129032258064516,0.015873015873015872,0.028169014084507043,0.05882352941176471,0.03614457831325301,0.0,0.025,0.0
TF,0,0,0,36,16,3,10,7,3,0,8,0
DF,0,0,0,24,10,1,2,6,3,0,1,0
kword,herd_immunity,herd_immunity,herd_immunity,herd_immunity,herd_immunity,herd_immunity,herd_immunity,herd_immunity,herd_immunity,herd_immunity,herd_immunity,herd_immunity
fortnight_starting,2020-01-27,2020-02-10,2020-02-24,2020-03-09,2020-03-23,2020-04-06,2020-04-20,2020-05-04,2020-05-18,2020-06-01,2020-06-15,2020-06-29
fortnight_to_lockdown,-4,-3,-2,-1,0,1,2,3,4,5,6,7
salience,0.0,0.0,0.0,22.263956623148452,7.782494251991928,6.615588171943753,2.2043349408440656,0.6769017284839479,0.9350890118909895,0.24269782906791898,0.16944229279628195,0.5794302269435057
salience_diff,,0.0,0.0,22.263956623148452,-14.481462371156525,-1.1669060800481743,-4.411253231099687,-1.5274332123601178,0.25818728340704156,-0.6923911828230704,-0.07325553627163703,0.4099879341472237
normTF,0.0,0.0,0.0,44.527913246296905,30.157165226468713,29.770146773746884,17.389753422214294,8.630497038170335,8.623598665216903,3.155071777882947,6.777691711851277,5.7943022694350566
relDF,0.0,0.0,0.0,0.5,0.25806451612903225,0.2222222222222222,0.1267605633802817,0.0784313725490196,0.10843373493975904,0.07692307692307693,0.025,0.1
TF,0,0,0,147,52,43,39,22,23,4,7,6
DF,0,0,0,54,16,14,9,8,9,3,1,3
kword,michie,michie,michie,michie,michie,michie,michie,michie,michie,michie,michie,michie
fortnight_starting,2020-01-27,2020-02-10,2020-02-24,2020-03-09,2020-03-23,2020-04-06,2020-04-20,2020-05-04,2020-05-18,2020-06-01,2020-06-15,2020-06-29
fortnight_to_lockdown,-4,-3,-2,-1,0,1,2,3,4,5,6,7
salience,0.0,0.0,0.0,1.4808980973825123,1.7959602119981366,0.8791479298264122,3.3096424895294088,2.261467138344098,1.219681319857812,5.116879229515293,2.8805189775367928,3.3478190890069217
salience_diff,,0.0,0.0,1.4808980973825123,0.3150621146156243,-0.9168122821717244,2.4304945597029963,-1.0481753511853107,-1.041785818486286,3.897197909657481,-2.2363602519785,0.46730011147012895
normTF,0.0,0.0,0.0,13.328082876442613,9.279127761990372,11.077263915812795,13.822624515093414,10.984268957671334,6.748903303213227,18.141662722826947,16.46010844306739,12.554321583775954
relDF,0.0,0.0,0.0,0.1111111111111111,0.1935483870967742,0.07936507936507936,0.23943661971830985,0.2058823529411765,0.18072289156626506,0.28205128205128205,0.175,0.26666666666666666
TF,0,0,0,44,16,16,31,28,18,23,17,13
DF,0,0,0,12,12,5,17,21,15,11,7,8
kword,nudge,nudge,nudge,nudge,nudge,nudge,nudge,nudge,nudge,nudge,nudge,nudge
fortnight_starting,2020-01-27,2020-02-10,2020-02-24,2020-03-09,2020-03-23,2020-04-06,2020-04-20,2020-05-04,2020-05-18,2020-06-01,2020-06-15,2020-06-29
fortnight_to_lockdown,-4,-3,-2,-1,0,1,2,3,4,5,6,7
salience,15.112262521588947,9.826936725446306,0.5882968153532396,0.9816559357649233,1.6837126987482531,1.0549775157916945,0.9043425398334627,0.015384130192816998,0.1084161173206944,0.12134891453395948,0.2178543764523625,0.03219056816352808
salience_diff,,-5.285325796142642,-9.238639910093067,0.39335912041168364,0.7020567629833299,-0.6287351829565586,-0.15063497595823183,-0.8889584096406457,0.0930319871278774,0.012932797213265082,0.09650546191840302,-0.18566380828883441
normTF,30.22452504317789,31.9375443577005,5.098572399728076,7.572774361615122,8.699182276865974,11.077263915812795,8.026040041021982,0.7845906398336667,2.999512579205879,4.73260766682442,2.9047250193648333,0.9657170449058428
relDF,0.5,0.3076923076923077,0.1153846153846154,0.12962962962962962,0.1935483870967742,0.09523809523809523,0.11267605633802814,0.0196078431372549,0.03614457831325301,0.02564102564102564,0.075,0.03333333333333333
TF,7,9,3,25,15,16,18,2,8,6,3,1
DF,5,4,3,14,12,6,8,2,3,1,3,1
kword,psychologist,psychologist,psychologist,psychologist,psychologist,psychologist,psychologist,psychologist,psychologist,psychologist,psychologist,psychologist
fortnight_starting,2020-01-27,2020-02-10,2020-02-24,2020-03-09,2020-03-23,2020-04-06,2020-04-20,2020-05-04,2020-05-18,2020-06-01,2020-06-15,2020-06-29
fortnight_to_lockdown,-4,-3,-2,-1,0,1,2,3,4,5,6,7
salience,0.0,1.091881858382923,0.7843957538043195,0.11218924980170547,0.2806187831247089,0.6154035508784885,0.5652140873959143,0.24614608308507188,0.25297094041495366,0.323597105423892,1.1860960495739734,1.3520038628681796
salience_diff,,1.091881858382923,-0.3074861045786036,-0.672206504002614,0.16842953332300342,0.33478476775377963,-0.05018946348257425,-0.31906800431084237,0.006824857329881778,0.07062616500893831,0.8624989441500814,0.16590781329420623
normTF,0.0,7.097232079488999,6.798096532970768,2.423287795716839,3.4796729107463897,5.538631957906397,4.4589111339011005,3.138362559334667,2.999512579205879,3.155071777882947,6.777691711851277,6.760019314340898
relDF,0.0,0.15384615384615385,0.1153846153846154,0.04629629629629629,0.08064516129032258,0.1111111111111111,0.1267605633802817,0.0784313725490196,0.08433734939759037,0.10256410256410256,0.175,0.2
TF,0,2,4,8,6,8,10,8,8,4,7,7
DF,0,2,3,5,5,7,9,8,7,4,7,6
kword,psychology,psychology,psychology,psychology,psychology,psychology,psychology,psychology,psychology,psychology,psychology,psychology
fortnight_starting,2020-01-27,2020-02-10,2020-02-24,2020-03-09,2020-03-23,2020-04-06,2020-04-20,2020-05-04,2020-05-18,2020-06-01,2020-06-15,2020-06-29
fortnight_to_lockdown,-4,-3,-2,-1,0,1,2,3,4,5,6,7
salience,0.4317789291882556,0.0,0.2614652512681065,2.019406496430699,0.823148430499146,1.5385088771962212,2.6251054281276907,1.8460956231380397,2.358050551725104,1.4157373362295276,3.2920216886134783,0.6438113632705617
salience_diff,,-0.4317789291882556,0.2614652512681065,1.7579412451625922,-1.196258065931553,0.7153604466970752,1.0865965509314695,-0.779009804989651,0.5119549285870642,-0.9423132154955762,1.8762843523839507,-2.648210325342917
normTF,4.317789291882556,0.0,3.399048266485384,9.087329233938144,6.379400336368381,9.692605926336196,9.809604494582421,9.415087678004001,10.873233099621313,7.887679444707367,16.46010844306739,4.8285852245292125
relDF,0.1,0.0,0.07692307692307693,0.2222222222222222,0.12903225806451613,0.15873015873015872,0.2676056338028169,0.19607843137254904,0.21686746987951808,0.1794871794871795,0.2,0.13333333333333333
TF,1,0,2,30,11,14,22,24,29,10,17,5
DF,1,0,2,24,8,10,19,20,18,7,8,4
kword,spi-b,spi-b,spi-b,spi-b,spi-b,spi-b,spi-b,spi-b,spi-b,spi-b,spi-b,spi-b
fortnight_starting,2020-01-27,2020-02-10,2020-02-24,2020-03-09,2020-03-23,2020-04-06,2020-04-20,2020-05-04,2020-05-18,2020-06-01,2020-06-15,2020-06-29
fortnight_to_lockdown,-4,-3,-2,-1,0,1,2,3,4,5,6,7
salience,0.0,0.0,0.0,0.022437849960341098,0.037415837749961184,0.09890414210547137,0.9043425398334627,6.730556959357434,4.2734019577240385,2.1842804616112708,1.0166537567776917,0.8691453404152586
salience_diff,,0.0,0.0,0.022437849960341098,0.014977987789620086,0.061488304355510184,0.8054383977279913,5.826214419523971,-2.457155001633396,-2.0891214961127678,-1.167626704833579,-0.14750841636243306
normTF,0.0,0.0,0.0,1.2116438978584194,1.1598909702487965,2.076986984214899,7.134257814241763,27.46067239417834,16.1223801132316,9.46521533364884,6.777691711851277,8.691453404152584
relDF,0.0,0.0,0.0,0.018518518518518517,0.03225806451612903,0.047619047619047616,0.1267605633802817,0.24509803921568624,0.26506024096385544,0.2307692307692308,0.15,0.1
TF,0,0,0,4,2,3,16,70,43,12,7,9
DF,0,0,0,2,2,3,9,25,22,9,6,3
