,article_id,title,pub_date_dt,kword,opinion_context
886,b1_355,"For us to listen, those giving orders need to share the pain",2020-04-13,reicher,"(13, 'psychologists alexander haslam and stephen reicher argued that when one looks closely at what actually happened during the milgram experiment, it was not issuing orders that achieved co-operation.')"
1162,b1_472,Revealed: the inside story of the UK's Covid-19 crisis;How herd immunity and delayed lockdown hampered efforts to contain the spread of coronavirus Coronavirus - latest updatesSee all our coronavirus coverage,2020-04-29,reicher,"(138, 'three behavioural scientists on spi-b, stephen reicher, john drury and clifford stott, even wrote an article for the psychologist journal, rejecting the notion of ""fatigue"" and suggesting that delaying stricter social distancing measures on that premise was taking a risk with lives.')"
1162,b1_472,Revealed: the inside story of the UK's Covid-19 crisis;How herd immunity and delayed lockdown hampered efforts to contain the spread of coronavirus Coronavirus - latest updatesSee all our coronavirus coverage,2020-04-29,drury,"(138, 'three behavioural scientists on spi-b, stephen reicher, john drury and clifford stott, even wrote an article for the psychologist journal, rejecting the notion of ""fatigue"" and suggesting that delaying stricter social distancing measures on that premise was taking a risk with lives.')"
1195,b1_499,"Isolation as dangerous as smoking 15 cigarettes a day, lockdown adviser warns;Prof Stephen Reicher says that social distancing is having an impact on the nation's mental and physical health",2020-05-02,reicher,"(3, 'professor stephen reicher, who is part of a group of behavioural scientists advising the government, told the telegraph: ""the problem with lockdown is isolation; being cut off from people is bad for you psychologically and physically.')"
1195,b1_499,"Isolation as dangerous as smoking 15 cigarettes a day, lockdown adviser warns;Prof Stephen Reicher says that social distancing is having an impact on the nation's mental and physical health",2020-05-02,reicher,"(15, 'prof reicher said that from the data he has seen the ""overwhelming story [of lockdown] is still how high the levels of adherence are and how positive relations between people are.')"
1195,b1_499,"Isolation as dangerous as smoking 15 cigarettes a day, lockdown adviser warns;Prof Stephen Reicher says that social distancing is having an impact on the nation's mental and physical health",2020-05-02,reicher,"(18, 'prof reicher said: ""when we see changes in adherence or non-adherence it is not at all clear that this is not a psychological issue, it is much more an issue of practicality.')"
1207,b1_508,Isolation 'as harmful as a 15-a-day smoking habit',2020-05-03,reicher,"(3, 'prof stephen reicher, who is part of a group of behavioural scientists advising the government, said: ""the problem with lockdown is isolation; being cut off from people is bad for you psychologically and physically.')"
1207,b1_508,Isolation 'as harmful as a 15-a-day smoking habit',2020-05-03,reicher,"(13, 'prof reicher said that from the data he had seen the ""overwhelming story [of lockdown] is still how high the levels of adherence are and how positive relations between people are"".')"
1312,b1_563,Mixed messages': UK government's strategy fuels fears of rule-breaking;Critics of No 10 warn U-turns undermining efforts to keep public safe from coronavirusCoronavirus - latest updatesSee all our coronavirus coverage,2020-05-07,drury,"(40, 'speaking in a personal capacity, john drury, professor of social psychology at the university of sussex, expressed similar concerns.')"
1312,b1_563,Mixed messages': UK government's strategy fuels fears of rule-breaking;Critics of No 10 warn U-turns undermining efforts to keep public safe from coronavirusCoronavirus - latest updatesSee all our coronavirus coverage,2020-05-07,drury,"(44, 'this article was amended on 8 may 2020. an earlier version mistakenly described john drury as belonging to sage, instead of to the expert group spi-b.')"
1330,b1_566,UK scientists condemn 'Stalinist' attempt to censor Covid-19 advice;Exclusive: report criticising government lockdown proposals heavily redacted before release Coronavirus - latest updatesSee all our coronavirus coverage,2020-05-08,reicher,"(7, '""personally, i am more bemused than furious,"" said stephen reicher, a professor of social psychology at the university of st andrews.')"
1340,b1_567,Government accused of 'Stalinist' censorship after redacting Sage report that criticised ministers;Whistleblowers claim key areas were blocked out while one adviser is reported to be considering resigning over secretive handling of report,2020-05-08,reicher,"(4, 'stephen reicher, a professor of social psychology at the university of st andrews who sits on spi-b, said he was ""bemused"" by the government\'s decision to censor the report.')"
1351,b1_569,Government accused of 'Stalinism' over heavily redacted report;Coronavirus ; Scientific advice,2020-05-09,reicher,"(3, 'stephen reicher, a professor of social psychology at the university of st andrews, who sits on spi-b, said he was ""bemused"" by the government\'s decision to censor the report.')"
1368,b1_600,Sage having 'heated arguments' over science of lockdown;The use of face masks and the easing of lockdown measures have been the subject of debate,2020-05-10,reicher,"(15, 'one member of the government\'s spi-b advisory committee, stephen reicher, a professor of social psychology at the university of st andrews, wrote on social media: ""the greatest asset we have in this crisis is the trust and adherence of the public.')"
1410,b2_0,"Government's top behavioural scientist showed 'lack of concern' over coronavirus deaths, says advisor;'If you are trying to bring the population on board and work with you it's not a good look to refer to them as a herd,' said Professor Stephen Reicher, who sits on the behavioural science sub-group that feeds advice into SAGE",2020-06-16,reicher,"(4, '""it does seem to indicate a lack of concern with the deaths of many people and particularly of vulnerable members of the population,"" said stephen reicher a professor of social psychology at st andrews university, who also sits on the behavioural science sub-group that feeds advice into sage.')"
1410,b2_0,"Government's top behavioural scientist showed 'lack of concern' over coronavirus deaths, says advisor;'If you are trying to bring the population on board and work with you it's not a good look to refer to them as a herd,' said Professor Stephen Reicher, who sits on the behavioural science sub-group that feeds advice into SAGE",2020-06-16,reicher,"(9, ""professor reicher was speaking to econ film's coronanomics show."")"
1410,b2_0,"Government's top behavioural scientist showed 'lack of concern' over coronavirus deaths, says advisor;'If you are trying to bring the population on board and work with you it's not a good look to refer to them as a herd,' said Professor Stephen Reicher, who sits on the behavioural science sub-group that feeds advice into SAGE",2020-06-16,reicher,"(23, 'and professor reicher also believes that this idea did not, in fact, come from the nudge unit.')"
1410,b2_0,"Government's top behavioural scientist showed 'lack of concern' over coronavirus deaths, says advisor;'If you are trying to bring the population on board and work with you it's not a good look to refer to them as a herd,' said Professor Stephen Reicher, who sits on the behavioural science sub-group that feeds advice into SAGE",2020-06-16,reicher,"(29, 'watch the full coronanomics interview with cass sunstein and stephen reicher here.')"
1439,b2_3,"Government's advisors accuse PM of 'trashing' lockdown by backing Dominic Cummings;Professor Stephen Reicher, who is on the Scientific Pandemic Influenza Group on Behaviours (SPI-B), slammed Boris Johnson for 'trashing' the body's advice on building trust around coronavirus rules",2020-05-24,reicher,"(1, ""professor stephen reicher is on the independent scientific pandemic influenza group on behaviours spi-b that feeds analysis and advice to the scientists on the government's emergency panel."")"
1439,b2_3,"Government's advisors accuse PM of 'trashing' lockdown by backing Dominic Cummings;Professor Stephen Reicher, who is on the Scientific Pandemic Influenza Group on Behaviours (SPI-B), slammed Boris Johnson for 'trashing' the body's advice on building trust around coronavirus rules",2020-05-24,reicher,"(2, ""following the prime minister's defiant defence of his chief adviser, prof reicher tweeted that he had completely undermined efforts to get the public to stick to lockdown rules."")"
1439,b2_3,"Government's advisors accuse PM of 'trashing' lockdown by backing Dominic Cummings;Professor Stephen Reicher, who is on the Scientific Pandemic Influenza Group on Behaviours (SPI-B), slammed Boris Johnson for 'trashing' the body's advice on building trust around coronavirus rules",2020-05-24,reicher,"(4, 'in a second tweet, prof reicher said: ""be open and honest, we said.')"
1439,b2_3,"Government's advisors accuse PM of 'trashing' lockdown by backing Dominic Cummings;Professor Stephen Reicher, who is on the Scientific Pandemic Influenza Group on Behaviours (SPI-B), slammed Boris Johnson for 'trashing' the body's advice on building trust around coronavirus rules",2020-05-24,reicher,"(16, '""prof reicher\'s post had been retweeted more than 20,000 times in less than two hours, including by other scientists on spi-b.')"
1439,b2_3,"Government's advisors accuse PM of 'trashing' lockdown by backing Dominic Cummings;Professor Stephen Reicher, who is on the Scientific Pandemic Influenza Group on Behaviours (SPI-B), slammed Boris Johnson for 'trashing' the body's advice on building trust around coronavirus rules",2020-05-24,reicher,"(19, '""earlier in the evening, prof reicher, who is professor of social psychology at the university of st andrews, said: ""it feels increasingly as if we are living through a greek drama.')"
1460,b2_6,Isolation fatigue 'was wrong',2020-06-24,reicher,"(1, 'delaying lockdown because people would get tired of staying at home was ""vigorously opposed"" by behavioural scientists feeding into the scientific advisory group for emergencies, said stephen reicher, a member of the scientific pandemic influenza group on behaviours, a committee of sage.')"
1460,b2_6,Isolation fatigue 'was wrong',2020-06-24,reicher,"(6, '""professor reicher, a psychologist at the university of st andrews who has criticised the concept of behavioural fatigue, said that ""the vast majority"" of experts disagreed with the idea and argued against it to ministers.')"
1481,b2_12,"The way Boris Johnson has eased lockdown sends all the wrong messages;The reduction of the 2-metre rule in England tells people we're out of the woods, and they'll behave accordingly Stephen Reicher is a member of SPI-B, the Sage subcommittee advising on behaviour",2020-06-24,reicher,"(43, 'stephen reicher is a psychology professor and member of spi-b, the sage subcommittee advising the government on behavioural issues')"
1488,b2_13,"Loyalty to Cummings will cost lives, says scientist",2020-05-25,reicher,"(1, 'stephen reicher said that ""in a few short minutes boris johnson has trashed all the advice we have given on how to build trust and secure adherence to the measures necessary to control covid-19"".')"
1492,b2_14,"Dominic Cummings draws condemnation from across UK society;Politicians, clergy, police, lawyers, medics and media have all rounded on PM's aideCoronavirus - latest updatesSee all our coronavirus coverage",2020-05-25,reicher,"(6, 'prof stephen reicher, spi-b member""i am sorry to have to say that as another member of spi-b i have to agree.""')"
1500,b2_15,"Number 10's response to the Covid-19 crisis has been 'disastrously wrong' and officials have ignored behavioural science experts, claims government scientific adviser",2020-06-23,reicher,"(0, ""•professor stephen reicher is a behavioural scientist on a sage sub-committee•no 10 has been repeatedly criticised for its response to the covid-19 outbreak•britain has europe's worst death toll, with almost 43,000 lab-confirmed deaths•prof reicher argued ministers should have listened to behaviour scientists more                     number 10's response to coronavirus has been 'disastrously wrong', a government scientific adviser dramatically claimed today."")"
1500,b2_15,"Number 10's response to the Covid-19 crisis has been 'disastrously wrong' and officials have ignored behavioural science experts, claims government scientific adviser",2020-06-23,reicher,"(1, 'professor stephen reicher, a behavioural scientist on a panel that feeds into sage, accused ministers of making bad decisions throughout the crisis.')"
1500,b2_15,"Number 10's response to the Covid-19 crisis has been 'disastrously wrong' and officials have ignored behavioural science experts, claims government scientific adviser",2020-06-23,reicher,"(5, ""professor reicher - based at the university of st andrews - attacked number 10's response, arguing they should have listened to behavioural scientists more."")"
1500,b2_15,"Number 10's response to the Covid-19 crisis has been 'disastrously wrong' and officials have ignored behavioural science experts, claims government scientific adviser",2020-06-23,reicher,"(8, ""professor reicher's comments were in a response to a column in the times, which argued listening to behavioural experts was one of 'the biggest mistakes'."")"
1500,b2_15,"Number 10's response to the Covid-19 crisis has been 'disastrously wrong' and officials have ignored behavioural science experts, claims government scientific adviser",2020-06-23,reicher,"(10, ""professor reicher said 'the vast majority' of experts disagreed with the idea of crisis fatigue and clashed over it with ministers."")"
1500,b2_15,"Number 10's response to the Covid-19 crisis has been 'disastrously wrong' and officials have ignored behavioural science experts, claims government scientific adviser",2020-06-23,reicher,"(13, ""[related][item name=video id=4435230 style=2 /]professor reicher said: 'they have got things disastrously wrong and they should have listened more to their independent behavioural science advisors."")"
1500,b2_15,"Number 10's response to the Covid-19 crisis has been 'disastrously wrong' and officials have ignored behavioural science experts, claims government scientific adviser",2020-06-23,reicher,"(26, ""'and professor reicher said there was an important point raised, asking: 'is one view of human behaviour overly dominating in no 10 and has it led to bad decisions?"")"
1500,b2_15,"Number 10's response to the Covid-19 crisis has been 'disastrously wrong' and officials have ignored behavioural science experts, claims government scientific adviser",2020-06-23,reicher,"(28, ""professor reicher has previously attacked the government over its handling of the dominic cummings saga, warning people would die because of his decision to travel 260miles to his parents' house during lockdown."")"
1502,b2_16,"Government advisor warns 'people will die' after PM 'trashes' lockdown to save Cummings;Professor Stephen Reicher, a member of the SAGE group SPI-B, told the Mirror mixed messaging will mean fewer follow the rules adding: ""If adherence falls, the infection will rise and people will die""",2020-05-25,reicher,"(1, 'professor stephen reicher hit out after the pm claimed dominic cummings\' 260-mile drive from london to durham in late march followed ""every father\'s instinct"".')"
1502,b2_16,"Government advisor warns 'people will die' after PM 'trashes' lockdown to save Cummings;Professor Stephen Reicher, a member of the SAGE group SPI-B, told the Mirror mixed messaging will mean fewer follow the rules adding: ""If adherence falls, the infection will rise and people will die""",2020-05-25,reicher,"(14, 'a chorus of scientific advisors to the government hit out last night, with prof reicher claiming boris johnson had ""trashed"" his own advice to stay home.')"
1502,b2_16,"Government advisor warns 'people will die' after PM 'trashes' lockdown to save Cummings;Professor Stephen Reicher, a member of the SAGE group SPI-B, told the Mirror mixed messaging will mean fewer follow the rules adding: ""If adherence falls, the infection will rise and people will die""",2020-05-25,reicher,"(15, 'today prof reicher, a member of the scientific pandemic influenza group on behaviours spi-b, claimed the mixed messaging would cost lives.')"
1502,b2_16,"Government advisor warns 'people will die' after PM 'trashes' lockdown to save Cummings;Professor Stephen Reicher, a member of the SAGE group SPI-B, told the Mirror mixed messaging will mean fewer follow the rules adding: ""If adherence falls, the infection will rise and people will die""",2020-05-25,reicher,"(18, 'prof reicher told itv\'s good morning britain: ""the real issue here is that because of these actions, because of undermining trust in the government, because of undermining adherence to the rules that we all need to follow, people are going to die.')"
1502,b2_16,"Government advisor warns 'people will die' after PM 'trashes' lockdown to save Cummings;Professor Stephen Reicher, a member of the SAGE group SPI-B, told the Mirror mixed messaging will mean fewer follow the rules adding: ""If adherence falls, the infection will rise and people will die""",2020-05-25,reicher,"(20, '""prof reicher also told the mirror: ""if you want people to adhere to what authorities say, if you want people to trust authorities and trust government, then one of the most important factors... is accents of \'they are acting with us and for us\'.')"
1502,b2_16,"Government advisor warns 'people will die' after PM 'trashes' lockdown to save Cummings;Professor Stephen Reicher, a member of the SAGE group SPI-B, told the Mirror mixed messaging will mean fewer follow the rules adding: ""If adherence falls, the infection will rise and people will die""",2020-05-25,reicher,"(28, 'prof reicher rejected suggestions by mr cummings\' allies that he and other critics were part of a ""left-wing plot"" against the aide.')"
1515,b2_19,"The inconvenient truth is that Johnson needs an enforcer;Johnson has trashed all the advice we have given, says science adviser",2020-05-25,reicher,"(24, '""stephen reicher, a member of the spi-b committee that advises the government on behavioural science, said: ""in a few short minutes tonight, boris johnson has trashed all the advice we have given on how to build trust and secure adherence to the measures necessary to control covid-19.""')"
1525,b2_21,Johnson's defence of Cummings sparks anger from allies and opponents alike;Possible police investigation of aide is latest in series of Guardian disclosures that have rocked the governmentCoronavirus - latest updatesSee all our coronavirus coverage,2020-05-24,reicher,"(9, 'prof stephen reicher, of st andrews university, tweeted: ""i can say that in a few short minutes tonight, boris johnson has trashed all the advice we have given on how to build trust and secure adherence to the measures necessary to control covid-19.')"
1525,b2_21,Johnson's defence of Cummings sparks anger from allies and opponents alike;Possible police investigation of aide is latest in series of Guardian disclosures that have rocked the governmentCoronavirus - latest updatesSee all our coronavirus coverage,2020-05-24,reicher,"(25, 'co/tfk4vyblil ) and continue to make up for this bad government with their own good sense.- stephen reicher (@reicherstephen)       \xa0    may 24, 2020the labour leader, keir starmer, said johnson\'s decision to take no action against cummings was ""an insult to sacrifices made by the british people"".')"
1547,b2_25,"Coronavirus: 'Many unnecessary deaths' risked by lifting lockdown before contact tracing system effective, scientists warn;Warning comes as minister warns tracker app may not be ready until winter",2020-06-18,reicher,"(18, 'stephen reicher, professor of social psychology at the university of st andrews, a member of the government\'s spi-b panel who has joined the independent behavioural science group, said: ""all the measures we have to combat covid-19 depend upon public buy-in - whether that be staying at home, keeping social distance, maintaining hygiene or supporting track and trace.')"
1547,b2_25,"Coronavirus: 'Many unnecessary deaths' risked by lifting lockdown before contact tracing system effective, scientists warn;Warning comes as minister warns tracker app may not be ready until winter",2020-06-18,reicher,"(21, '""prof reicher said the new group\'s work would be ""entirely complementary"" with the advice some of its members are already giving to the official sage and to the scottish chief medical officer.')"
1578,b2_32,TRA ASHED;TOP ADVISER FURY AS PM STANDS BY CUMMINGSlScientist blasts BoJo for 'wrecking public trust'lFears that refusal to bin aide is rules flout threat,2020-05-25,reicher,"(1, ""the blast from professor stephen reicher came amid a wave of fury over the prime minister's refusal to fire his top aide."")"
1578,b2_32,TRA ASHED;TOP ADVISER FURY AS PM STANDS BY CUMMINGSlScientist blasts BoJo for 'wrecking public trust'lFears that refusal to bin aide is rules flout threat,2020-05-25,reicher,"(8, ""and the pm was savaged by prof reicher, a member of the uk government's scientific pandemic influenza group on behaviours."")"
1578,b2_32,TRA ASHED;TOP ADVISER FURY AS PM STANDS BY CUMMINGSlScientist blasts BoJo for 'wrecking public trust'lFears that refusal to bin aide is rules flout threat,2020-05-25,reicher,"(21, 'prof reicher added last night: ""it is very hard to provide scientific advice to a government which doesn\'t want to listen to science.')"
1578,b2_32,TRA ASHED;TOP ADVISER FURY AS PM STANDS BY CUMMINGSlScientist blasts BoJo for 'wrecking public trust'lFears that refusal to bin aide is rules flout threat,2020-05-25,reicher,"(36, 'prof reicher isolation ""message may have become confused in the last 24 hours because of events in other parts of the uk"".')"
1630,b2_45,Johnson 'did not listen',2020-06-24,reicher,"(1, 'delaying lockdown because people would get tired of staying at home was ""vigorously opposed"" by behavioural scientists feeding into the scientific advisory group for emergencies, said stephen reicher, a member of the scientific pandemic influenza group on behaviours, a committee of sage.')"
1630,b2_45,Johnson 'did not listen',2020-06-24,reicher,"(4, 'professor reicher, a psychologist at the university of st andrews , said that ""the vast majority"" of experts disagreed with the idea and argued against it to ministers.')"
1633,b2_46,"Johnson's father's visit to Greece 'could erode trust in guidelines';Trip by Stanley Johnson could weaken message on Covid-19 rules, warns Sage adviser",2020-07-03,reicher,"(2, ""prof stephen reicher, a member of spi-b, the sage subcommittee providing advice from behavioural scientists to government on how the public might respond to lockdown measures, said the incident could undermine the public's trust in government guidelines."")"
1633,b2_46,"Johnson's father's visit to Greece 'could erode trust in guidelines';Trip by Stanley Johnson could weaken message on Covid-19 rules, warns Sage adviser",2020-07-03,reicher,"(3, ""reicher, previously reacted with disdain to johnson's defence of his senior adviser, dominic cummings, after his controversial visit to his parents' home in durham during the height of lockdown."")"
1633,b2_46,"Johnson's father's visit to Greece 'could erode trust in guidelines';Trip by Stanley Johnson could weaken message on Covid-19 rules, warns Sage adviser",2020-07-03,reicher,"(4, ""of the recent episode involving the prime ministers's father, reicher said evidence had shown that trust is more important for compliance at this stage than it was during the lockdown."")"
1635,b2_47,Sunseekers risk new virus spike as beaches crammed;Top scientist warns Covid-19 cases could rise again ? Police declare serious incident in Bournemouth,2020-06-26,reicher,"(22, '""stephen reicher, a member of the government\'s spi-b behavioural science advisory group, said: ""the scenes on the south coast suggest that chris whitty\'s worst fears are being realised.')"
1640,b2_48,Coronavirus: the week explained - 12 June;Lockdowns saved millions in Europe... the psychology of physical distancing... wastewater under the microscope,2020-06-12,drury,"(35, 'nicola davis speaks to prof john drury about the psychology of physical distancing and why we like to be near those we feel emotionally close with                                                           watch the wastewater                                      with so many people in lockdown, scientists turned their attention away from the most common route of spreading the disease - inhalation of virus-laden droplets from an infected person - to the domestic risk of contaminated surfaces and wastewater.')"
1648,b2_50,"Boris Johnson has 'trashed' Government advice by defending Dominic Cummings, advisors say;Downing Street has defended Mr Cummings' actions, insisting he ""acted in line with guidelines""",2020-05-24,reicher,"(4, 'following mr johnson\'s defiant defence of his chief adviser, professor stephen reicher tweeted that mr johnson had ""trashed"" all the advice he had been given about building public trust.')"
